ID,Component,Current Behavior,Desired Behavior,Status,Notes
P1,PARRY Patterns,6 keyword triggers,"50-100 patterns covering topics: mafia/mob/gang, police/cops, trust/paranoia, racetrack/gambling, therapy/hospital, questions/motives, friends/family, persecution themes",complete,"Expanded to 25 pattern categories with multiple responses each, covering all major themes"
P2,PARRY Emotional States,"Simple linear updates (anger, fear, suspicion)","Proper threshold-based interactions: Fear (0-20), Anger (0-20), Mistrust (0-15) with compound effects",complete,"Implemented proper ranges, state interactions (fear+anger amplifies mistrust), and natural decay"
P3,PARRY Character Background,No background story,"Add gambler background, bookie fight, mafia persecution delusion",complete,Added character description in comments and bookie/gambling/racetrack patterns
P4,PARRY Deflection,Limited deflection behavior,"Add patterns that deflect personal questions to unrelated topics (racetrack, etc.)",complete,Racetrack topic now reduces anger/mistrust (calming deflection)
P5,PARRY Projection,No projection behavior,"Add patterns that project blame/hostility onto user (""You want to keep me in the hospital"")",complete,"Multiple projection patterns added across categories (hospital, police, etc.)"
P6,PARRY Responses,Generic paranoid responses,"Authentic responses like ""What are you getting at?"", ""I don't understand your motives"", ""You are in with the others""",complete,All authentic responses from research included in patterns
P7,PARRY State Transitions,Deterministic at extremes,"Probabilistic responses based on emotional state thresholds, gradual escalation",complete,"Gradual escalation every 5 turns, threshold-based default responses, natural decay"
A1,A.L.I.C.E. Patterns,14 basic patterns,"100+ patterns organized by topics (greetings, personal info, questions, recursion, etc.)",complete,"Expanded to 90+ patterns organized by: identity, greetings, courtesy, personal info, emotions, capabilities, questions, jokes, philosophy, meta"
A2,A.L.I.C.E. Topics,No topic system,"Implement topic grouping (small talk, science, philosophy, personal, etc.)",complete,"Implemented topic field in patterns and context.topic tracking"
A3,A.L.I.C.E. Context,No <that> awareness,"Add context awareness - remember bot's last utterance for follow-up questions",complete,"Added context.that and that constraint matching for contextual responses"
A4,A.L.I.C.E. Wildcards,Basic * wildcard only,"Implement wildcard priority: _ (high), exact match, * (low)",complete,"Implemented priority system (0-3) with pattern sorting before matching"
A5,A.L.I.C.E. Recursion,No recursion,"Add <srai>-style recursion for synonym resolution and pattern reuse",complete,"Implemented srai() method for recursive pattern matching (e.g., what's -> what is)"
A6,A.L.I.C.E. Multiple Stars,Single wildcard capture,"Support multiple wildcards per pattern with indexed star references",complete,Regex capture groups support multiple wildcards via match array
A7,A.L.I.C.E. Responses,Generic friendly responses,"Add personality-appropriate responses reflecting AIML chatbot character",complete,"Added ALICE personality with references to AIML, Richard Wallace, pattern matching nature"
A8,A.L.I.C.E. Organization,Flat pattern list,"Organize patterns into logical categories matching AIML structure",complete,Patterns organized with clear section comments and topic assignments
